Order Number,Cust Code,PO,Item,Part ID,Required Qty,Request Date,Estimated Delivery Dates,Pulling Dates,Available Qty,Fulfilled Qty,Remaining Qty,PO Create Date,Lead Time (Days),Status,Notes,Stock Before,Stock After,Stock Used,Flight Qty Used,Flight Details,Warehouse Notes
139,SH1500,2002713732,00010,X1E000371000400,6000,2025-10-19,6000×2025-09-03 (flight),6000×2025-09-01,6000,6000,0,2025-07-07,-46,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-08-28),0,0,0,6000,6000×2025-08-28,6000 from flight 2025-08-28 → 2025-09-03
140,SH1500,2002715107,00010,X1E000371000400,6000,2025-10-21,"3000×2025-09-03 (flight), 3000×2025-09-26 (flight)","3000×2025-09-01, 3000×2025-09-24",6000,6000,0,2025-07-15,-25,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-09-23),0,0,0,6000,"3000×2025-08-28, 3000×2025-09-23",3000 from flight 2025-08-28 → 2025-09-03; 3000 from flight 2025-09-23 → 2025-09-26
141,SH1500,2002719324,00010,X1E000371000400,9000,2025-11-19,6000×2025-10-22 (flight),6000×2025-10-20,6000,6000,3000,2025-08-04,-28,Partial Flight Only,Partially fulfilled from flights: 6000/9000 (last departure: 2025-10-16). Remaining: 3000,0,0,0,6000,6000×2025-10-16,6000 from flight 2025-10-16 → 2025-10-22
142,SH1500,2002701382,00010,X1E000251011300,15000,2025-08-13,15000×2025-08-13 (stock),N/A,15000,15000,0,2025-04-29,0,In Stock,Fully fulfilled from stock: 15000,36000,21000,15000,0,,15000 from stock → 2025-08-13
143,SH1500,2002701382,00020,X1E000251011300,36000,2025-08-13,"21000×2025-08-13 (stock), 15000×2025-08-15 (flight)",15000×2025-08-13,36000,36000,0,2025-04-29,2,Partial Stock + Flight,"Fully fulfilled: 21000 from stock, 15000 from flights",21000,0,21000,15000,15000×2025-08-12,21000 from stock → 2025-08-13; 15000 from flight 2025-08-12 → 2025-08-15
144,SH1500,2002701382,00030,X1E000251011300,12000,2025-08-13,12000×2025-08-15 (flight),12000×2025-08-13,12000,12000,0,2025-04-29,2,Awaiting Flight,Fully fulfilled from flights: 12000 (last departure: 2025-08-12),0,0,0,12000,12000×2025-08-12,12000 from flight 2025-08-12 → 2025-08-15
145,SH1500,2002701382,00040,X1E000251011300,15000,2025-08-20,"6000×2025-08-15 (flight), 9000×2025-08-22 (flight)","6000×2025-08-13, 9000×2025-08-20",15000,15000,0,2025-04-29,2,Awaiting Flight,Fully fulfilled from flights: 15000 (last departure: 2025-08-19),0,0,0,15000,"6000×2025-08-12, 9000×2025-08-19",6000 from flight 2025-08-12 → 2025-08-15; 9000 from flight 2025-08-19 → 2025-08-22
146,SH1500,2002701382,00050,X1E000251011300,18000,2025-08-20,"6000×2025-08-22 (flight), 12000×2025-09-17 (flight)","6000×2025-08-20, 12000×2025-09-15",18000,18000,0,2025-04-29,28,Awaiting Flight,Fully fulfilled from flights: 18000 (last departure: 2025-09-11),0,0,0,18000,"6000×2025-08-19, 12000×2025-09-11 (+22d)",6000 from flight 2025-08-19 → 2025-08-22; 12000 from flight 2025-09-11 (+22d) → 2025-09-17
147,SH1500,2002701382,00060,X1E000251011300,15000,2025-08-27,15000×2025-09-17 (flight),15000×2025-09-15,15000,15000,0,2025-04-29,21,Awaiting Flight,Fully fulfilled from flights: 15000 (last departure: 2025-09-11),0,0,0,15000,15000×2025-09-11 (+15d),15000 from flight 2025-09-11 (+15d) → 2025-09-17
148,SH1500,2002705356,00010,X1E000251011300,54000,2025-08-27,"21000×2025-09-17 (flight), 12000×2025-09-19 (flight), 15000×2025-09-19 (flight), 6000×2025-09-19 (flight)","21000×2025-09-15, 12000×2025-09-17, 15000×2025-09-17, 6000×2025-09-17",54000,54000,0,2025-05-22,23,Awaiting Flight,Fully fulfilled from flights: 54000 (last departure: 2025-09-16),0,0,0,54000,"21000×2025-09-11 (+15d), 12000×2025-09-16 (+20d), 15000×2025-09-16 (+20d), 6000×2025-09-16 (+20d)",21000 from flight 2025-09-11 (+15d) → 2025-09-17; 12000 from flight 2025-09-16 (+20d) → 2025-09-19; 15000 from flight 2025-09-16 (+20d) → 2025-09-19; 6000 from flight 2025-09-16 (+20d) → 2025-09-19
149,SH1500,2002705356,00020,X1E000251011300,78000,2025-09-03,"33000×2025-09-19 (flight), 45000×2025-09-24 (flight)","33000×2025-09-17, 45000×2025-09-22",78000,78000,0,2025-05-22,21,Awaiting Flight,Fully fulfilled from flights: 78000 (last departure: 2025-09-18),0,0,0,78000,"33000×2025-09-16 (+13d), 45000×2025-09-18 (+15d)",33000 from flight 2025-09-16 (+13d) → 2025-09-19; 45000 from flight 2025-09-18 (+15d) → 2025-09-24
150,SH1500,2002705356,00030,X1E000251011300,87000,2025-09-10,"42000×2025-09-24 (flight), 15000×2025-09-24 (flight), 30000×2025-09-24 (flight)","42000×2025-09-22, 15000×2025-09-22, 30000×2025-09-22",87000,87000,0,2025-05-22,14,Awaiting Flight,Fully fulfilled from flights: 87000 (last departure: 2025-09-18),0,0,0,87000,"42000×2025-09-18 (+8d), 15000×2025-09-18 (+8d), 30000×2025-09-18 (+8d)",42000 from flight 2025-09-18 (+8d) → 2025-09-24; 15000 from flight 2025-09-18 (+8d) → 2025-09-24; 30000 from flight 2025-09-18 (+8d) → 2025-09-24
151,SH1500,2002705356,00040,X1E000251011300,90000,2025-09-24,90000×2025-10-03 (flight),90000×2025-10-01,90000,90000,0,2025-05-22,9,Awaiting Flight,Fully fulfilled from flights: 90000 (last departure: 2025-09-25),0,0,0,90000,90000×2025-09-25 (+1d),90000 from flight 2025-09-25 (+1d) → 2025-10-03
152,SH1500,2002705356,00050,X1E000251011300,36000,2025-09-30,36000×2025-10-13 (flight),36000×2025-10-08,36000,36000,0,2025-05-22,13,Awaiting Flight,Fully fulfilled from flights: 36000 (last departure: 2025-10-02),0,0,0,36000,36000×2025-10-02 (+2d),36000 from flight 2025-10-02 (+2d) → 2025-10-13
153,SH1500,2002706447,00010,X1E000251011300,6000,2025-10-08,6000×2025-10-13 (flight),6000×2025-10-08,6000,6000,0,2025-05-28,5,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-02),0,0,0,6000,6000×2025-10-02,6000 from flight 2025-10-02 → 2025-10-13
154,SH1500,2002706447,00020,X1E000251011300,99000,2025-10-08,"24000×2025-10-13 (flight), 6000×2025-10-13 (flight), 69000×2025-10-15 (flight)","24000×2025-10-08, 6000×2025-10-08, 69000×2025-10-13",99000,99000,0,2025-05-28,7,Awaiting Flight,Fully fulfilled from flights: 99000 (last departure: 2025-10-09),0,0,0,99000,"24000×2025-10-02, 6000×2025-10-02, 69000×2025-10-09 (+1d)",24000 from flight 2025-10-02 → 2025-10-13; 6000 from flight 2025-10-02 → 2025-10-13; 69000 from flight 2025-10-09 (+1d) → 2025-10-15
155,SH1500,2002706447,00030,X1E000251011300,99000,2025-10-29,"72000×2025-10-22 (flight), 24000×2025-10-22 (flight), 3000×2025-10-29 (flight)","72000×2025-10-20, 24000×2025-10-20, 3000×2025-10-27",99000,99000,0,2025-05-28,0,Awaiting Flight,Fully fulfilled from flights: 99000 (last departure: 2025-10-23),0,0,0,99000,"72000×2025-10-16, 24000×2025-10-16, 3000×2025-10-23",72000 from flight 2025-10-16 → 2025-10-22; 24000 from flight 2025-10-16 → 2025-10-22; 3000 from flight 2025-10-23 → 2025-10-29
156,SH1500,2002706447,00040,X1E000251011300,27000,2025-11-12,"24000×2025-10-29 (flight), 3000×2025-10-29 (flight)","24000×2025-10-27, 3000×2025-10-27",27000,27000,0,2025-05-28,-14,Awaiting Flight,Fully fulfilled from flights: 27000 (last departure: 2025-10-23),0,0,0,27000,"24000×2025-10-23, 3000×2025-10-23",24000 from flight 2025-10-23 → 2025-10-29; 3000 from flight 2025-10-23 → 2025-10-29
157,SH1500,2002708138,00010,X1E000251011300,21000,2025-11-12,21000×2025-10-29 (flight),21000×2025-10-27,21000,21000,0,2025-06-05,-14,Awaiting Flight,Fully fulfilled from flights: 21000 (last departure: 2025-10-23),0,0,0,21000,21000×2025-10-23,21000 from flight 2025-10-23 → 2025-10-29
158,TW1700,3000496639,00010,S1D13C00B00C10B,9000,cancel,Invalid Date,N/A,0,0,9000,2021/12/14,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
159,TW1700,3000498140,00010,S1D13C00B00C10B,6000,cancel,Invalid Date,N/A,0,0,6000,2021/12/22,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
160,TW1700,3000504518,00010,S1D13C00B00C10B,9000,cancel,Invalid Date,N/A,0,0,9000,2022/01/25,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
161,TW1700,3000506176,00010,S1D13C00B00C10B,21000,cancel,Invalid Date,N/A,0,0,21000,2022/02/10,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
162,TW1700,3000506176,00020,S1D13C00B00C10B,18000,cancel,Invalid Date,N/A,0,0,18000,2022/02/10,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
163,TW1700,3000506176,00030,S1D13C00B00C10B,18000,cancel,Invalid Date,N/A,0,0,18000,2022/02/10,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
164,TW1700,3000506176,00040,S1D13C00B00C10B,9000,cancel,Invalid Date,N/A,0,0,9000,2022/02/10,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
165,TW1700,3000703681,00010,MCP98244T-BE/MNY,6600,2025-08-22,6600×2025-08-22 (stock),N/A,6600,6600,0,2025-06-02,0,In Stock,Fully fulfilled from stock: 6600,6600,0,6600,0,,6600 from stock → 2025-08-22
166,TW1700,3000703983,00010,MCP98244T-BE/MNY,6600,2025-09-24,No Flights Available,N/A,0,0,6600,2025-06-02,0,No Inventory Available,No current stock or future flights available. Required: 6600,0,0,0,0,,No inventory available - no current stock or future flights
167,TW1700,3000704642,00010,MCP98244T-BE/MNY,3300,2025-09-24,No Flights Available,N/A,0,0,3300,2025-06-05,0,No Inventory Available,No current stock or future flights available. Required: 3300,0,0,0,0,,No inventory available - no current stock or future flights
168,TW1700,3000711742,00010,X1G004171012600,6000,2025-10-01,6000×2025-10-17 (flight),6000×2025-10-15,6000,6000,0,2025-07-14,16,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-11),0,0,0,6000,6000×2025-10-11 (+10d),6000 from flight 2025-10-11 (+10d) → 2025-10-17
169,TW1700,3000694981,00010,X1G004451000800,2000,cancel,Invalid Date,N/A,0,0,2000,2025/04/14,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
170,TW1700,3000693486,00010,X1G004251000100,2000,2025-09-17,2000×2025-09-17 (stock),N/A,2000,2000,0,2025-04-07,0,In Stock,Fully fulfilled from stock: 2000,6000,4000,2000,0,,2000 from stock → 2025-09-17
171,TW1700,3000696407,00010,X1G004251000100,2000,2025-09-26,2000×2025-09-26 (stock),N/A,2000,2000,0,2025-04-21,0,In Stock,Fully fulfilled from stock: 2000,4000,2000,2000,0,,2000 from stock → 2025-09-26
172,TW1700,3000702885,00010,X1G004251000100,2000,2025-10-17,2000×2025-10-17 (stock),N/A,2000,2000,0,2025-05-26,0,In Stock,Fully fulfilled from stock: 2000,2000,0,2000,0,,2000 from stock → 2025-10-17
173,TW1700,3000714448,00010,X1G004251000100,6000,2025-11-14,"2000×2025-04-16 (flight), 2000×2025-04-25 (flight)","2000×2025-04-14, 2000×2025-04-23",4000,4000,2000,2025-07-30,-203,Partial Flight Only,Partially fulfilled from flights: 4000/6000 (last departure: 2025-04-19). Remaining: 2000,0,0,0,4000,"2000×2025-04-09, 2000×2025-04-19",2000 from flight 2025-04-09 → 2025-04-16; 2000 from flight 2025-04-19 → 2025-04-25
174,TW1700,3000696407,00030,X1G005441020416,6000,2025-08-22,6000×2025-08-22 (stock),N/A,6000,6000,0,2025-04-21,0,In Stock,Fully fulfilled from stock: 6000,27000,21000,6000,0,,6000 from stock → 2025-08-22
175,TW1700,3000696407,00040,X1G005441020416,6000,2025-10-08,6000×2025-10-08 (stock),N/A,6000,6000,0,2025-04-21,0,In Stock,Fully fulfilled from stock: 6000,21000,15000,6000,0,,6000 from stock → 2025-10-08
176,TW1700,3000700243,00010,X1G005441020416,6000,2025-11-15,6000×2025-11-14 (stock),N/A,6000,6000,0,2025-05-12,-1,In Stock,Fully fulfilled from stock: 6000,15000,9000,6000,0,,6000 from stock → 2025-11-14
177,TW1700,3000706751,00010,X1G005441020416,6000,2025-11-29,6000×2025-11-28 (stock),N/A,6000,6000,0,2025-06-16,-1,In Stock,Fully fulfilled from stock: 6000,9000,3000,6000,0,,6000 from stock → 2025-11-28
178,TW1700,3000714116,00090,X1G005441020416,6000,2025-12-13,"3000×2025-09-03 (flight), 3000×2025-12-12 (stock)",3000×2025-09-01,6000,6000,0,2025-07-29,-1,Partial Stock + Flight,"Fully fulfilled: 3000 from stock, 3000 from flights",3000,0,3000,3000,3000×2025-08-27,3000 from stock → 2025-12-12; 3000 from flight 2025-08-27 → 2025-09-03
179,TW1700,3000702864,00010,X1G005351004700,2000,2025-09-06,2000×2025-08-20 (flight),2000×2025-08-18,2000,2000,0,2025-05-26,-17,Awaiting Flight,Fully fulfilled from flights: 2000 (last departure: 2025-08-14),0,0,0,2000,2000×2025-08-14,2000 from flight 2025-08-14 → 2025-08-20
180,TW1700,3000697930,00010,Q13FC1350000400,18000,2025-08-13,18000×2025-08-13 (stock),N/A,18000,18000,0,2025-04-29,0,In Stock,Fully fulfilled from stock: 18000,27000,9000,18000,0,,18000 from stock → 2025-08-13
181,TW1700,3000697930,00020,Q13FC1350000400,6000,2025-09-01,"3000×2025-08-22 (flight), 3000×2025-09-01 (stock)",3000×2025-08-20,6000,6000,0,2025-04-29,0,Partial Stock + Flight,"Fully fulfilled: 3000 from stock, 3000 from flights",3000,0,3000,3000,3000×2025-08-19,3000 from stock → 2025-09-01; 3000 from flight 2025-08-19 → 2025-08-22
182,TW1700,3000701859,00010,Q13FC1350000400,12000,2025-09-03,12000×2025-08-22 (flight),12000×2025-08-20,12000,12000,0,2025-05-21,-12,Awaiting Flight,Fully fulfilled from flights: 12000 (last departure: 2025-08-19),0,0,0,12000,12000×2025-08-19,12000 from flight 2025-08-19 → 2025-08-22
183,TW1700,3000703204,00010,Q13FC1350000400,33000,2025-09-07,"6000×2025-08-22 (flight), 6000×2025-08-27 (flight), 9000×2025-08-27 (flight), 12000×2025-08-27 (flight)","6000×2025-08-20, 6000×2025-08-25, 9000×2025-08-25, 12000×2025-08-25",33000,33000,0,2025-05-27,-11,Awaiting Flight,Fully fulfilled from flights: 33000 (last departure: 2025-08-22),0,0,0,33000,"6000×2025-08-19, 6000×2025-08-22, 9000×2025-08-22, 12000×2025-08-22",6000 from flight 2025-08-19 → 2025-08-22; 6000 from flight 2025-08-22 → 2025-08-27; 9000 from flight 2025-08-22 → 2025-08-27; 12000 from flight 2025-08-22 → 2025-08-27
184,TW1700,3000703204,00020,Q13FC1350000400,9000,2025-09-17,9000×2025-08-27 (flight),9000×2025-08-25,9000,9000,0,2025-05-27,-21,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-08-22),0,0,0,9000,9000×2025-08-22,9000 from flight 2025-08-22 → 2025-08-27
185,TW1700,3000704270,00010,Q13FC1350000400,9000,2025-09-26,"6000×2025-08-27 (flight), 3000×2025-08-27 (flight)","6000×2025-08-25, 3000×2025-08-25",9000,9000,0,2025-06-03,-30,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-08-22),0,0,0,9000,"6000×2025-08-22, 3000×2025-08-22",6000 from flight 2025-08-22 → 2025-08-27; 3000 from flight 2025-08-22 → 2025-08-27
186,TW1700,3000705655,00010,Q13FC1350000400,9000,2025-09-26,"6000×2025-08-27 (flight), 3000×2025-08-27 (flight)","6000×2025-08-25, 3000×2025-08-25",9000,9000,0,2025-06-10,-30,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-08-22),0,0,0,9000,"6000×2025-08-22, 3000×2025-08-22",6000 from flight 2025-08-22 → 2025-08-27; 3000 from flight 2025-08-22 → 2025-08-27
187,TW1700,3000707517,00010,Q13FC1350000400,39000,2025-10-03,"6000×2025-08-29 (flight), 9000×2025-08-29 (flight), 3000×2025-09-17 (flight), 18000×2025-09-17 (flight), 3000×2025-09-17 (flight)","6000×2025-08-27, 9000×2025-08-27, 3000×2025-09-15, 18000×2025-09-15, 3000×2025-09-15",39000,39000,0,2025-06-19,-16,Awaiting Flight,Fully fulfilled from flights: 39000 (last departure: 2025-09-11),0,0,0,39000,"6000×2025-08-24, 9000×2025-08-24, 3000×2025-09-11, 18000×2025-09-11, 3000×2025-09-11",6000 from flight 2025-08-24 → 2025-08-29; 9000 from flight 2025-08-24 → 2025-08-29; 3000 from flight 2025-09-11 → 2025-09-17; 18000 from flight 2025-09-11 → 2025-09-17; 3000 from flight 2025-09-11 → 2025-09-17
188,TW1700,3000708232,00010,Q13FC1350000400,18000,2025-10-15,18000×2025-09-17 (flight),18000×2025-09-15,18000,18000,0,2025-06-24,-28,Awaiting Flight,Fully fulfilled from flights: 18000 (last departure: 2025-09-11),0,0,0,18000,18000×2025-09-11,18000 from flight 2025-09-11 → 2025-09-17
189,TW1700,3000714116,00010,Q13FC1350000400,9000,2025-10-17,9000×2025-09-17 (flight),9000×2025-09-15,9000,9000,0,2025-07-29,-30,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-09-11),0,0,0,9000,9000×2025-09-11,9000 from flight 2025-09-11 → 2025-09-17
190,TW1700,3000714116,00020,Q13FC1350000400,6000,2025-10-20,"3000×2025-09-17 (flight), 3000×2025-09-17 (flight)","3000×2025-09-15, 3000×2025-09-15",6000,6000,0,2025-07-29,-33,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-09-11),0,0,0,6000,"3000×2025-09-11, 3000×2025-09-11",3000 from flight 2025-09-11 → 2025-09-17; 3000 from flight 2025-09-11 → 2025-09-17
191,TW1700,3000714116,00030,Q13FC1350000400,18000,2025-11-03,No Flights Available,N/A,0,0,18000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 18000,0,0,0,0,,No inventory available - no current stock or future flights
192,TW1700,3000714116,00040,Q13FC1350000400,33000,2025-11-07,No Flights Available,N/A,0,0,33000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 33000,0,0,0,0,,No inventory available - no current stock or future flights
193,TW1700,3000714148,00010,Q13FC1350000400,33000,2025-11-14,No Flights Available,N/A,0,0,33000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 33000,0,0,0,0,,No inventory available - no current stock or future flights
194,TW1700,3000714148,00020,Q13FC1350000400,6000,2025-12-01,No Flights Available,N/A,0,0,6000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 6000,0,0,0,0,,No inventory available - no current stock or future flights
195,TW1700,3000714148,00030,Q13FC1350000400,33000,2025-12-05,No Flights Available,N/A,0,0,33000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 33000,0,0,0,0,,No inventory available - no current stock or future flights
196,TW1700,3000697930,00030,X1A000161000116,18000,2025-08-13,"9000×2025-08-13 (stock), 9000×2025-08-15 (flight)",9000×2025-08-13,18000,18000,0,2025-04-29,2,Partial Stock + Flight,"Fully fulfilled: 9000 from stock, 9000 from flights",9000,0,9000,9000,9000×2025-08-12,9000 from stock → 2025-08-13; 9000 from flight 2025-08-12 → 2025-08-15
197,TW1700,3000697930,00040,X1A000161000116,6000,2025-09-01,6000×2025-08-22 (flight),6000×2025-08-20,6000,6000,0,2025-04-29,-10,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-08-19),0,0,0,6000,6000×2025-08-19,6000 from flight 2025-08-19 → 2025-08-22
198,TW1700,3000701859,00020,X1A000161000116,12000,2025-09-03,12000×2025-08-22 (flight),12000×2025-08-20,12000,12000,0,2025-05-21,-12,Awaiting Flight,Fully fulfilled from flights: 12000 (last departure: 2025-08-19),0,0,0,12000,12000×2025-08-19,12000 from flight 2025-08-19 → 2025-08-22
199,TW1700,3000703204,00030,X1A000161000116,30000,2025-09-08,30000×2025-08-22 (flight),30000×2025-08-20,30000,30000,0,2025-05-27,-17,Awaiting Flight,Fully fulfilled from flights: 30000 (last departure: 2025-08-19),0,0,0,30000,30000×2025-08-19,30000 from flight 2025-08-19 → 2025-08-22
200,TW1700,3000703204,00040,X1A000161000116,9000,2025-09-17,9000×2025-08-22 (flight),9000×2025-08-20,9000,9000,0,2025-05-27,-26,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-08-19),0,0,0,9000,9000×2025-08-19,9000 from flight 2025-08-19 → 2025-08-22
201,TW1700,3000704270,00020,X1A000161000116,9000,2025-09-22,9000×2025-08-22 (flight),9000×2025-08-20,9000,9000,0,2025-06-03,-31,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-08-19),0,0,0,9000,9000×2025-08-19,9000 from flight 2025-08-19 → 2025-08-22
202,TW1700,3000705655,00020,X1A000161000116,9000,2025-09-26,"3000×2025-08-22 (flight), 6000×2025-08-27 (flight)","3000×2025-08-20, 6000×2025-08-25",9000,9000,0,2025-06-10,-30,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-08-21),0,0,0,9000,"3000×2025-08-19, 6000×2025-08-21",3000 from flight 2025-08-19 → 2025-08-22; 6000 from flight 2025-08-21 → 2025-08-27
203,TW1700,3000707517,00020,X1A000161000116,39000,2025-09-26,"36000×2025-08-27 (flight), 3000×2025-08-29 (flight)","36000×2025-08-25, 3000×2025-08-27",39000,39000,0,2025-06-19,-28,Awaiting Flight,Fully fulfilled from flights: 39000 (last departure: 2025-08-26),0,0,0,39000,"36000×2025-08-21, 3000×2025-08-26",36000 from flight 2025-08-21 → 2025-08-27; 3000 from flight 2025-08-26 → 2025-08-29
204,TW1700,3000708232,00020,X1A000161000116,21000,2025-10-08,21000×2025-08-29 (flight),21000×2025-08-27,21000,21000,0,2025-06-24,-40,Awaiting Flight,Fully fulfilled from flights: 21000 (last departure: 2025-08-26),0,0,0,21000,21000×2025-08-26,21000 from flight 2025-08-26 → 2025-08-29
205,TW1700,3000713023,00010,X1A000161000116,24000,2025-10-17,"6000×2025-08-29 (flight), 9000×2025-09-05 (flight)","6000×2025-08-27, 9000×2025-09-03",15000,15000,9000,2025-07-22,-42,Partial Flight Only,Partially fulfilled from flights: 15000/24000 (last departure: 2025-09-02). Remaining: 9000,0,0,0,15000,"6000×2025-08-26, 9000×2025-09-02",6000 from flight 2025-08-26 → 2025-08-29; 9000 from flight 2025-09-02 → 2025-09-05
206,TW1700,3000714116,00050,X1A000161000116,18000,2025-11-05,No Flights Available,N/A,0,0,18000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 18000,0,0,0,0,,No inventory available - no current stock or future flights
207,TW1700,3000714116,00060,X1A000161000116,21000,2025-11-10,No Flights Available,N/A,0,0,21000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 21000,0,0,0,0,,No inventory available - no current stock or future flights
208,TW1700,3000714148,00040,X1A000161000116,33000,2025-11-14,No Flights Available,N/A,0,0,33000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 33000,0,0,0,0,,No inventory available - no current stock or future flights
209,TW1700,3000714148,00050,X1A000161000116,9000,2025-12-01,No Flights Available,N/A,0,0,9000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 9000,0,0,0,0,,No inventory available - no current stock or future flights
210,TW1700,3000714148,00060,X1A000161000116,33000,2025-12-05,No Flights Available,N/A,0,0,33000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 33000,0,0,0,0,,No inventory available - no current stock or future flights
211,TW1700,3000701564,00010,Q22FA1280009000,3000,2025-09-01,3000×2025-09-01 (stock),N/A,3000,3000,0,2025-05-19,0,In Stock,Fully fulfilled from stock: 3000,3000,0,3000,0,,3000 from stock → 2025-09-01
212,TW1700,3000704042,00010,Q22FA1280009000,6000,2025-09-20,"3000×2025-09-05 (flight), 3000×2025-09-05 (flight)","3000×2025-09-03, 3000×2025-09-03",6000,6000,0,2025-06-02,-15,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-08-30),0,0,0,6000,"3000×2025-08-30, 3000×2025-08-30",3000 from flight 2025-08-30 → 2025-09-05; 3000 from flight 2025-08-30 → 2025-09-05
213,TW1700,3000706751,00020,Q22FA1280009000,6000,2025-10-08,6000×2025-09-24 (flight),6000×2025-09-22,6000,6000,0,2025-06-16,-14,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-09-18),0,0,0,6000,6000×2025-09-18,6000 from flight 2025-09-18 → 2025-09-24
214,TW1700,3000714011,00010,Q22FA1280009000,6000,2025-11-07,No Flights Available,N/A,0,0,6000,2025-07-28,0,No Inventory Available,No current stock or future flights available. Required: 6000,0,0,0,0,,No inventory available - no current stock or future flights
215,TW1700,3000696703,00040,Q22FA2380049900,6000,2025-09-01,6000×2025-08-22 (flight),6000×2025-08-20,6000,6000,0,2025-04-23,-10,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-08-19),0,0,0,6000,6000×2025-08-19,6000 from flight 2025-08-19 → 2025-08-22
216,TW1700,3000697930,00050,Q22FA2380049900,15000,2025-08-30,"6000×2025-08-22 (flight), 9000×2025-08-22 (flight)","6000×2025-08-20, 9000×2025-08-20",15000,15000,0,2025-04-29,-8,Awaiting Flight,Fully fulfilled from flights: 15000 (last departure: 2025-08-19),0,0,0,15000,"6000×2025-08-19, 9000×2025-08-19",6000 from flight 2025-08-19 → 2025-08-22; 9000 from flight 2025-08-19 → 2025-08-22
217,TW1700,3000697930,00060,Q22FA2380049900,6000,2025-09-03,6000×2025-08-29 (flight),6000×2025-08-27,6000,6000,0,2025-04-29,-5,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-08-26),0,0,0,6000,6000×2025-08-26,6000 from flight 2025-08-26 → 2025-08-29
218,TW1700,3000701859,00030,Q22FA2380049900,6000,2025-09-03,6000×2025-09-03 (flight),6000×2025-09-01,6000,6000,0,2025-05-21,0,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-08-28),0,0,0,6000,6000×2025-08-28,6000 from flight 2025-08-28 → 2025-09-03
219,TW1700,3000701859,00040,Q22FA2380049900,15000,2025-09-07,"9000×2025-09-03 (flight), 6000×2025-09-03 (flight)","9000×2025-09-01, 6000×2025-09-01",15000,15000,0,2025-05-21,-4,Awaiting Flight,Fully fulfilled from flights: 15000 (last departure: 2025-08-28),0,0,0,15000,"9000×2025-08-28, 6000×2025-08-28",9000 from flight 2025-08-28 → 2025-09-03; 6000 from flight 2025-08-28 → 2025-09-03
220,TW1700,3000703204,00050,Q22FA2380049900,27000,2025-09-12,"12000×2025-09-03 (flight), 9000×2025-09-03 (flight), 6000×2025-09-03 (flight)","12000×2025-09-01, 9000×2025-09-01, 6000×2025-09-01",27000,27000,0,2025-05-27,-9,Awaiting Flight,Fully fulfilled from flights: 27000 (last departure: 2025-08-28),0,0,0,27000,"12000×2025-08-28, 9000×2025-08-28, 6000×2025-08-28",12000 from flight 2025-08-28 → 2025-09-03; 9000 from flight 2025-08-28 → 2025-09-03; 6000 from flight 2025-08-28 → 2025-09-03
221,TW1700,3000703204,00060,Q22FA2380049900,9000,2025-09-20,9000×2025-09-03 (flight),9000×2025-09-01,9000,9000,0,2025-05-27,-17,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-08-28),0,0,0,9000,9000×2025-08-28,9000 from flight 2025-08-28 → 2025-09-03
