Order Number,Cust Code,PO,Item,Part ID,Required Qty,Request Date,Estimated Delivery Dates,Pulling Dates,Available Qty,Fulfilled Qty,Remaining Qty,PO Create Date,Lead Time (Days),Status,Notes,Stock Before,Stock After,Stock Used,Flight Qty Used,Flight Details,Warehouse Notes
83,KS4100,4101419981,00010,X1G005441002216,3000,2025-08-12,3000×2025-08-20 (flight),3000×2025-08-18,3000,3000,0,2025-06-09,8,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-08-13),0,0,0,3000,3000×2025-08-13 (+1d),3000 from flight 2025-08-13 (+1d) → 2025-08-20
84,KS4100,4101419981,00020,X1G005441002216,3000,2025-08-12,3000×2025-08-20 (flight),3000×2025-08-18,3000,3000,0,2025-06-09,8,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-08-13),0,0,0,3000,3000×2025-08-13 (+1d),3000 from flight 2025-08-13 (+1d) → 2025-08-20
85,KS4100,4101429510,00010,X1G005441002216,3000,2025-08-12,3000×2025-09-24 (flight),3000×2025-09-22,3000,3000,0,2025-07-07,43,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-17),0,0,0,3000,3000×2025-09-17 (+36d),3000 from flight 2025-09-17 (+36d) → 2025-09-24
86,KS4100,4101429510,00020,X1G005441002216,3000,2025-08-12,3000×2025-09-24 (flight),3000×2025-09-22,3000,3000,0,2025-07-07,43,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-17),0,0,0,3000,3000×2025-09-17 (+36d),3000 from flight 2025-09-17 (+36d) → 2025-09-24
87,KS4100,4101429510,00030,X1G005441002216,3000,2025-08-12,3000×2025-09-24 (flight),3000×2025-09-22,3000,3000,0,2025-07-07,43,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-17),0,0,0,3000,3000×2025-09-17 (+36d),3000 from flight 2025-09-17 (+36d) → 2025-09-24
88,KS4100,4101429510,00040,X1G005441002216,3000,2025-08-12,3000×2025-09-24 (flight),3000×2025-09-22,3000,3000,0,2025-07-07,43,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-17),0,0,0,3000,3000×2025-09-17 (+36d),3000 from flight 2025-09-17 (+36d) → 2025-09-24
89,KS4100,4101429510,00050,X1G005441002216,3000,2025-08-12,3000×2025-09-24 (flight),3000×2025-09-22,3000,3000,0,2025-07-07,43,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-17),0,0,0,3000,3000×2025-09-17 (+36d),3000 from flight 2025-09-17 (+36d) → 2025-09-24
90,KS4100,4101429510,00060,X1G005441002216,3000,2025-08-12,3000×2025-09-24 (flight),3000×2025-09-22,3000,3000,0,2025-07-07,43,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-17),0,0,0,3000,3000×2025-09-17 (+36d),3000 from flight 2025-09-17 (+36d) → 2025-09-24
91,KS4100,4101429510,00070,X1G005441002216,3000,2025-08-12,3000×2025-09-24 (flight),3000×2025-09-22,3000,3000,0,2025-07-07,43,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-17),0,0,0,3000,3000×2025-09-17 (+36d),3000 from flight 2025-09-17 (+36d) → 2025-09-24
92,KS4100,4101429510,00080,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-07,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
